ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2020-09-18,77.1891429600294,65.39872959781508,93.28134284188401,77.1891429600294,77.1891429600294,1.8427261866302371,1.8427261866302371,1.8427261866302371,1.8427261866302371,1.8427261866302371,1.8427261866302371,0.0,0.0,0.0,79.03186914665963
2020-09-21,79.37423832314357,67.00533034509571,95.66041114487518,79.37423832314357,79.37423832314357,1.8838375202636242,1.8838375202636242,1.8838375202636242,1.8838375202636242,1.8838375202636242,1.8838375202636242,0.0,0.0,0.0,81.2580758434072
2020-09-22,80.10260344418163,67.20651465643722,96.47972852890793,80.10260344418163,80.10260344418163,2.336973058570314,2.336973058570314,2.336973058570314,2.336973058570314,2.336973058570314,2.336973058570314,0.0,0.0,0.0,82.43957650275193
2020-09-23,80.83096856521969,68.84434801830753,96.5995993519799,80.83096856521969,80.83096856521969,1.991609692913495,1.991609692913495,1.991609692913495,1.991609692913495,1.991609692913495,1.991609692913495,0.0,0.0,0.0,82.82257825813319
2020-09-24,81.55933368625776,69.23250729719506,96.56948705804903,81.55933368625776,81.55933368625776,1.6536426710057566,1.6536426710057566,1.6536426710057566,1.6536426710057566,1.6536426710057566,1.6536426710057566,0.0,0.0,0.0,83.21297635726351
2020-09-25,82.28769880729581,68.97333459696988,97.70126401964443,82.28769880729581,82.28769880729581,1.842726186644561,1.842726186644561,1.842726186644561,1.842726186644561,1.842726186644561,1.842726186644561,0.0,0.0,0.0,84.13042499394037
2020-09-28,84.47279417040997,71.35427387532428,99.41090784239259,84.47279417040997,84.47279417040997,1.883837520268654,1.883837520268654,1.883837520268654,1.883837520268654,1.883837520268654,1.883837520268654,0.0,0.0,0.0,86.35663169067863
2020-09-29,85.20115929144804,73.6103200591641,102.6068409367305,85.20115929144804,85.20115929144804,2.3369730585714623,2.3369730585714623,2.3369730585714623,2.3369730585714623,2.3369730585714623,2.3369730585714623,0.0,0.0,0.0,87.5381323500195
2020-09-30,85.9295244124861,73.85418012763901,101.40506840563154,85.9295244124861,85.9295244124861,1.9916096929127174,1.9916096929127174,1.9916096929127174,1.9916096929127174,1.9916096929127174,1.9916096929127174,0.0,0.0,0.0,87.92113410539882
2020-10-01,86.65788953352416,74.19076071389172,102.15292725949035,86.65788953352416,86.65788953352416,1.6536426710095524,1.6536426710095524,1.6536426710095524,1.6536426710095524,1.6536426710095524,1.6536426710095524,0.0,0.0,0.0,88.3115322045337
2020-10-02,87.38625465456222,74.39274732237847,103.10365600086962,87.38625465456222,87.38625465456222,1.842726186644515,1.842726186644515,1.842726186644515,1.842726186644515,1.842726186644515,1.842726186644515,0.0,0.0,0.0,89.22898084120673
2020-10-05,89.57135001767638,77.03459701022301,106.40011823407413,89.57135001767638,89.57135001767638,1.8838375202736835,1.8838375202736835,1.8838375202736835,1.8838375202736835,1.8838375202736835,1.8838375202736835,0.0,0.0,0.0,91.45518753795007
2020-10-06,90.29971513871445,78.64464739616591,107.02323376156791,90.29971513871445,90.29971513871445,2.336973058576351,2.336973058576351,2.336973058576351,2.336973058576351,2.336973058576351,2.336973058576351,0.0,0.0,0.0,92.6366881972908
2020-10-07,91.02808025975251,78.7050795267755,108.21226459355029,91.02808025975251,91.02808025975251,1.9916096929130394,1.9916096929130394,1.9916096929130394,1.9916096929130394,1.9916096929130394,1.9916096929130394,0.0,0.0,0.0,93.01968995266556
2020-10-08,91.756445792651,78.66063110196946,108.80968020753343,91.756445792651,91.756445792651,1.6536426710091432,1.6536426710091432,1.6536426710091432,1.6536426710091432,1.6536426710091432,1.6536426710091432,0.0,0.0,0.0,93.41008846366013
2020-10-09,92.48481132554949,80.68973865622844,107.14060754308063,92.48481132554949,92.48481132554949,1.8427261866357918,1.8427261866357918,1.8427261866357918,1.8427261866357918,1.8427261866357918,1.8427261866357918,0.0,0.0,0.0,94.32753751218527
2020-10-12,94.66990792424495,81.6359767549222,111.19849386662482,94.66990792424495,94.66990792424495,1.8838375202787139,1.8838375202787139,1.8838375202787139,1.8838375202787139,1.8838375202787139,1.8838375202787139,0.0,0.0,0.0,96.55374544452367
2020-10-13,95.39827345714345,83.58688840237676,113.71628758368549,95.39827345714345,95.39827345714345,2.3369730585774993,2.3369730585774993,2.3369730585774993,2.3369730585774993,2.3369730585774993,2.3369730585774993,0.0,0.0,0.0,97.73524651572095
2020-10-14,96.12663899004193,82.51395681636559,112.69748867111323,96.12663899004193,96.12663899004193,1.991609692914206,1.991609692914206,1.991609692914206,1.991609692914206,1.991609692914206,1.991609692914206,0.0,0.0,0.0,98.11824868295614
2020-10-15,96.85500452294042,83.57732896525157,112.35379813861083,96.85500452294042,96.85500452294042,1.6536426710108363,1.6536426710108363,1.6536426710108363,1.6536426710108363,1.6536426710108363,1.6536426710108363,0.0,0.0,0.0,98.50864719395126
2020-10-16,97.58337005583891,85.88016107272192,114.38670363083196,97.58337005583891,97.58337005583891,1.8427261866357458,1.8427261866357458,1.8427261866357458,1.8427261866357458,1.8427261866357458,1.8427261866357458,0.0,0.0,0.0,99.42609624247466
2020-10-19,99.76846665453438,86.52408276593829,116.15869367122268,99.76846665453438,99.76846665453438,1.8838375202787196,1.8838375202787196,1.8838375202787196,1.8838375202787196,1.8838375202787196,1.8838375202787196,0.0,0.0,0.0,101.6523041748131
2020-10-20,100.49683218743287,88.9493594096733,117.98561587503978,100.49683218743287,100.49683218743287,2.336973058572461,2.336973058572461,2.336973058572461,2.336973058572461,2.336973058572461,2.336973058572461,0.0,0.0,0.0,102.83380524600534
2020-10-21,101.22519772033135,89.32449625571866,117.86838438292015,101.22519772033135,101.22519772033135,1.9916096929134288,1.9916096929134288,1.9916096929134288,1.9916096929134288,1.9916096929134288,1.9916096929134288,0.0,0.0,0.0,103.21680741324478
2020-10-22,101.95356325322986,89.1031463885646,118.56160058942808,101.95356325322986,101.95356325322986,1.6536426710058403,1.6536426710058403,1.6536426710058403,1.6536426710058403,1.6536426710058403,1.6536426710058403,0.0,0.0,0.0,103.6072059242357
2020-10-23,102.68192878612834,89.9524783417894,118.6039960143088,102.68192878612834,102.68192878612834,1.842726186631361,1.842726186631361,1.842726186631361,1.842726186631361,1.842726186631361,1.842726186631361,0.0,0.0,0.0,104.5246549727597
