ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2020-09-30,8.41150464962768,4.67523397280631,11.428270438697059,8.41150464962768,8.41150464962768,-0.20876748171847806,-0.20876748171847806,-0.20876748171847806,-0.20876748171847806,-0.20876748171847806,-0.20876748171847806,0.0,0.0,0.0,8.202737167909202
2020-10-01,8.619801290961593,5.102834747446605,11.587880121515955,8.619801290961593,8.619801290961593,-0.39314468956557197,-0.39314468956557197,-0.39314468956557197,-0.39314468956557197,-0.39314468956557197,-0.39314468956557197,0.0,0.0,0.0,8.226656601396021
2020-10-02,8.828097932295504,5.225976823868249,11.818038299351027,8.828097932295504,8.828097932295504,-0.18998143343591864,-0.18998143343591864,-0.18998143343591864,-0.18998143343591864,-0.18998143343591864,-0.18998143343591864,0.0,0.0,0.0,8.638116498859587
2020-10-05,9.452987856297241,6.116918797587684,12.79154485906514,9.452987856297241,9.452987856297241,-0.08331896364742157,-0.08331896364742157,-0.08331896364742157,-0.08331896364742157,-0.08331896364742157,-0.08331896364742157,0.0,0.0,0.0,9.36966889264982
2020-10-06,9.661284497631154,6.14492732648311,12.926135160460639,9.661284497631154,9.661284497631154,-0.13230015694720654,-0.13230015694720654,-0.13230015694720654,-0.13230015694720654,-0.13230015694720654,-0.13230015694720654,0.0,0.0,0.0,9.528984340683948
2020-10-07,9.869581138965065,6.504467223306405,13.010200357277986,9.869581138965065,9.869581138965065,-0.20876748171853876,-0.20876748171853876,-0.20876748171853876,-0.20876748171853876,-0.20876748171853876,-0.20876748171853876,0.0,0.0,0.0,9.660813657246527
2020-10-08,10.077877780298977,6.182870689189846,13.252710274317295,10.077877780298977,10.077877780298977,-0.39314468956554094,-0.39314468956554094,-0.39314468956554094,-0.39314468956554094,-0.39314468956554094,-0.39314468956554094,0.0,0.0,0.0,9.684733090733436
2020-10-09,10.28617442163289,6.468226444060079,13.368197945146157,10.28617442163289,10.28617442163289,-0.18998143343514565,-0.18998143343514565,-0.18998143343514565,-0.18998143343514565,-0.18998143343514565,-0.18998143343514565,0.0,0.0,0.0,10.096192988197744
2020-10-12,10.911064345634626,7.536528847891949,14.29344840896976,10.911064345634626,10.911064345634626,-0.08331896364775988,-0.08331896364775988,-0.08331896364775988,-0.08331896364775988,-0.08331896364775988,-0.08331896364775988,0.0,0.0,0.0,10.827745381986867
2020-10-13,11.119360986968536,7.803889136609573,14.359055565421755,11.119360986968536,11.119360986968536,-0.13230015694718888,-0.13230015694718888,-0.13230015694718888,-0.13230015694718888,-0.13230015694718888,-0.13230015694718888,0.0,0.0,0.0,10.987060830021347
