ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2021-01-28,14.556103242607124,7.435983503829414,22.015265208283978,14.556103242607124,14.556103242607124,0.8371615963994025,0.8371615963994025,0.8371615963994025,0.8371615963994025,0.8371615963994025,0.8371615963994025,0.0,0.0,0.0,15.393264839006527
2021-01-29,14.758886767537302,9.208040996025092,23.594620401052637,14.758886767537302,14.758886767537302,1.1654244523399038,1.1654244523399038,1.1654244523399038,1.1654244523399038,1.1654244523399038,1.1654244523399038,0.0,0.0,0.0,15.924311219877206
2021-02-01,15.367237342327833,7.850922297396285,22.34269253336931,15.367237342327833,15.367237342327833,0.18193993638803582,0.18193993638803582,0.18193993638803582,0.18193993638803582,0.18193993638803582,0.18193993638803582,0.0,0.0,0.0,15.549177278715868
2021-02-02,15.57002086725801,8.559584999751422,23.181645995753602,15.57002086725801,15.57002086725801,0.24670889014002956,0.24670889014002956,0.24670889014002956,0.24670889014002956,0.24670889014002956,0.24670889014002956,0.0,0.0,0.0,15.81672975739804
2021-02-03,15.772804392188188,9.758429805553103,24.183459257344204,15.772804392188188,15.772804392188188,0.6636223800695245,0.6636223800695245,0.6636223800695245,0.6636223800695245,0.6636223800695245,0.6636223800695245,0.0,0.0,0.0,16.43642677225771
2021-02-04,15.975587917118366,9.391048834454324,23.56833369496124,15.975587917118366,15.975587917118366,0.8371615963998883,0.8371615963998883,0.8371615963998883,0.8371615963998883,0.8371615963998883,0.8371615963998883,0.0,0.0,0.0,16.812749513518256
2021-02-05,16.178371442048544,10.072213073071469,24.764229011727913,16.178371442048544,16.178371442048544,1.1654244523370334,1.1654244523370334,1.1654244523370334,1.1654244523370334,1.1654244523370334,1.1654244523370334,0.0,0.0,0.0,17.34379589438558
2021-02-08,16.78672201683908,9.250952421842479,24.825095596002313,16.78672201683908,16.78672201683908,0.18193993638967645,0.18193993638967645,0.18193993638967645,0.18193993638967645,0.18193993638967645,0.18193993638967645,0.0,0.0,0.0,16.968661953228754
2021-02-09,16.989505541769258,10.47128856087206,24.536553689083096,16.989505541769258,16.989505541769258,0.24670889013927963,0.24670889013927963,0.24670889013927963,0.24670889013927963,0.24670889013927963,0.24670889013927963,0.0,0.0,0.0,17.23621443190854
2021-02-10,17.192289066699434,11.024347029643181,25.325438859334213,17.192289066699434,17.192289066699434,0.6636223800690256,0.6636223800690256,0.6636223800690256,0.6636223800690256,0.6636223800690256,0.6636223800690256,0.0,0.0,0.0,17.85591144676846
