ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2021-03-10,70.64378671473001,57.591339919834894,84.66790623999765,70.64378671473001,70.64378671473001,0.2414696508828712,0.2414696508828712,0.2414696508828712,0.2414696508828712,0.2414696508828712,0.2414696508828712,0.0,0.0,0.0,70.88525636561289
2021-03-11,70.73569000076145,56.8927536200048,84.01623771910074,70.73569000076145,70.73569000076145,-0.4269575684785789,-0.4269575684785789,-0.4269575684785789,-0.4269575684785789,-0.4269575684785789,-0.4269575684785789,0.0,0.0,0.0,70.30873243228287
2021-03-12,70.82759328679292,56.905208288513286,85.45052972237016,70.82759328679292,70.82759328679292,0.03149249799032592,0.03149249799032592,0.03149249799032592,0.03149249799032592,0.03149249799032592,0.03149249799032592,0.0,0.0,0.0,70.85908578478325
2021-03-15,71.10330314488728,59.03418837708111,84.7462313867791,71.10330314488728,71.10330314488728,0.3458746020875793,0.3458746020875793,0.3458746020875793,0.3458746020875793,0.3458746020875793,0.3458746020875793,0.0,0.0,0.0,71.44917774697485
2021-03-16,71.19520643091874,59.13120531346572,85.4657400692342,71.19520643091874,71.19520643091874,1.112282430382973,1.112282430382973,1.112282430382973,1.112282430382973,1.112282430382973,1.112282430382973,0.0,0.0,0.0,72.30748886130172
2021-03-17,71.2871097169502,58.80388903372429,84.50356746770139,71.2871097169502,71.2871097169502,0.24146965088667652,0.24146965088667652,0.24146965088667652,0.24146965088667652,0.24146965088667652,0.24146965088667652,0.0,0.0,0.0,71.52857936783687
2021-03-18,71.37901300298164,57.98464342885969,85.13136453401657,71.37901300298164,71.37901300298164,-0.4269575684780037,-0.4269575684780037,-0.4269575684780037,-0.4269575684780037,-0.4269575684780037,-0.4269575684780037,0.0,0.0,0.0,70.95205543450363
2021-03-19,71.4709162890131,58.17872292991763,84.0137168502829,71.4709162890131,71.4709162890131,0.031492497990424424,0.031492497990424424,0.031492497990424424,0.031492497990424424,0.031492497990424424,0.031492497990424424,0.0,0.0,0.0,71.50240878700353
2021-03-22,71.74662614710746,57.77197029064298,85.65339452696384,71.74662614710746,71.74662614710746,0.3458746020831371,0.3458746020831371,0.3458746020831371,0.3458746020831371,0.3458746020831371,0.3458746020831371,0.0,0.0,0.0,72.0925007491906
2021-03-23,71.83852943313893,58.76561420172851,86.74013524453815,71.83852943313893,71.83852943313893,1.1122824303834924,1.1122824303834924,1.1122824303834924,1.1122824303834924,1.1122824303834924,1.1122824303834924,0.0,0.0,0.0,72.95081186352242
2021-03-24,71.93043271917038,58.77571987010813,86.07997656175738,71.93043271917038,71.93043271917038,0.24146965088607625,0.24146965088607625,0.24146965088607625,0.24146965088607625,0.24146965088607625,0.24146965088607625,0.0,0.0,0.0,72.17190237005646
2021-03-25,72.02233600450067,58.29950811379925,85.68581516867616,72.02233600450067,72.02233600450067,-0.42695756847742844,-0.42695756847742844,-0.42695756847742844,-0.42695756847742844,-0.42695756847742844,-0.42695756847742844,0.0,0.0,0.0,71.59537843602324
2021-03-26,72.11423928983096,58.565850158705274,85.43543941947586,72.11423928983096,72.11423928983096,0.031492497990522915,0.031492497990522915,0.031492497990522915,0.031492497990522915,0.031492497990522915,0.031492497990522915,0.0,0.0,0.0,72.14573178782149
2021-03-29,72.38994914582184,59.3403690241846,86.02578668050924,72.38994914582184,72.38994914582184,0.3458746020835523,0.3458746020835523,0.3458746020835523,0.3458746020835523,0.3458746020835523,0.3458746020835523,0.0,0.0,0.0,72.7358237479054
2021-03-30,72.48185243115212,59.14919568081003,87.61913593505233,72.48185243115212,72.48185243115212,1.1122824303821615,1.1122824303821615,1.1122824303821615,1.1122824303821615,1.1122824303821615,1.1122824303821615,0.0,0.0,0.0,73.59413486153429
2021-03-31,72.57375571648242,59.1358728662845,85.6832563902775,72.57375571648242,72.57375571648242,0.24146965088459874,0.24146965088459874,0.24146965088459874,0.24146965088459874,0.24146965088459874,0.24146965088459874,0.0,0.0,0.0,72.81522536736702
2021-04-01,72.6656590018127,58.52139231393178,86.28489730348328,72.6656590018127,72.6656590018127,-0.4269575684781645,-0.4269575684781645,-0.4269575684781645,-0.4269575684781645,-0.4269575684781645,-0.4269575684781645,0.0,0.0,0.0,72.23870143333454
2021-04-05,73.03327214313389,60.31533550519643,87.5610344935754,73.03327214313389,73.03327214313389,0.3458746020855477,0.3458746020855477,0.3458746020855477,0.3458746020855477,0.3458746020855477,0.3458746020855477,0.0,0.0,0.0,73.37914674521943
2021-04-06,73.12517542846416,60.34452060973671,86.60111859498969,73.12517542846416,73.12517542846416,1.1122824303826815,1.1122824303826815,1.1122824303826815,1.1122824303826815,1.1122824303826815,1.1122824303826815,0.0,0.0,0.0,74.23745785884684
2021-04-07,73.21707871379446,59.277604460435626,86.1520960190625,73.21707871379446,73.21707871379446,0.24146965088399858,0.24146965088399858,0.24146965088399858,0.24146965088399858,0.24146965088399858,0.24146965088399858,0.0,0.0,0.0,73.45854836467846
2021-04-08,73.30898199546118,59.28668586332489,87.2771810779354,73.30898199546118,73.30898199546118,-0.4269575684779684,-0.4269575684779684,-0.4269575684779684,-0.4269575684779684,-0.4269575684779684,-0.4269575684779684,0.0,0.0,0.0,72.88202442698321
2021-04-09,73.40088527712788,60.40194412124586,87.62180158017891,73.40088527712788,73.40088527712788,0.03149249799025455,0.03149249799025455,0.03149249799025455,0.03149249799025455,0.03149249799025455,0.03149249799025455,0.0,0.0,0.0,73.43237777511814
